Column1,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,precip_prob,precip_1h,predict
21,2022.11.12 17:00,16.1111,72,11.1111,290,25.9104,0,8.04672,100,518.16,70,2.032,11.597069
22,2022.11.12 18:00,15,75,10.5556,297,24.1402,0,8.04672,100,518.16,70,2.032,10.489684
23,2022.11.12 19:00,13.8889,71,8.88889,305,25.9104,0,16.0934,100,518.16,40,0,3.1975763
24,2022.11.12 20:00,12.2222,75,8.33333,311,22.2089,0,16.0934,100,518.16,34,0,2.4178348
25,2022.11.12 21:00,12.2222,68,6.11111,313,18.5075,0,16.0934,100,518.16,29,0,2.653113
26,2022.11.12 22:00,11.1111,64,4.44444,314,14.806,0,16.0934,100,518.16,20,0,2.7528725
27,2022.11.12 23:00,9.44444,60,2.22222,315,11.1045,0,16.0934,100,518.16,20,0,2.947785
28,2022.11.13 0:00,11.1111,57,2.77778,317,7.40298,0,16.0934,100,518.16,20,0,2.5984075
29,2022.11.13 1:00,11.6667,56,3.33333,329,7.40298,1,16.0934,100,518.16,20,0,46.36553
30,2022.11.13 2:00,12.2222,56,3.88889,8,7.40298,1,16.0934,100,518.16,20,0,46.43813
31,2022.11.13 3:00,12.2222,58,4.44444,42,7.40298,1,16.0934,100,518.16,13,0,45.27359
32,2022.11.13 4:00,13.3333,58,5,50,7.40298,1,16.0934,79,518.16,0,0,44.73408
33,2022.11.13 5:00,13.3333,61,6.11111,51,7.40298,2,16.0934,58,9144,0,0,55.879917
34,2022.11.13 6:00,14.4444,63,7.77778,50,7.40298,2,16.0934,37,9144,0,0,58.085804
35,2022.11.13 7:00,13.3333,66,7.22222,56,5.6327,1,16.0934,27,9144,0,0,47.431583
36,2022.11.13 8:00,12.7778,69,7.22222,71,3.70149,0,16.0934,17,9144,0,0,-0.19776884
37,2022.11.13 9:00,11.6667,71,6.66667,93,1.93121,0,16.0934,7,9144,0,0,-0.09567455
38,2022.11.13 10:00,11.1111,70,5.55556,4,3.70149,0,16.0934,17,9144,0,0,-0.09605517
39,2022.11.13 11:00,10,69,5,318,5.6327,0,16.0934,26,9144,0,0,0.6011915
40,2022.11.13 12:00,9.44444,70,4.44444,311,5.6327,0,16.0934,34,9144,0,0,0.52539915
41,2022.11.13 13:00,8.33333,74,3.88889,297,5.6327,0,16.0934,31,9144,0,0,0.39242947
42,2022.11.13 14:00,7.77778,79,3.88889,282,5.6327,0,16.0934,28,9144,0,0,0.19016771
43,2022.11.13 15:00,7.22222,79,3.88889,275,5.6327,0,16.0934,25,9144,0,0,0.04934388
44,2022.11.13 16:00,6.66667,76,2.77778,277,5.6327,0,16.0934,22,9144,0,0,0.025018273
45,2022.11.13 17:00,6.66667,74,2.22222,283,5.6327,0,16.0934,19,9144,0,0,0.17119072
46,2022.11.13 18:00,6.66667,73,2.22222,285,5.6327,0,16.0934,16,9144,0,0,0.18076967
47,2022.11.13 19:00,6.66667,73,2.22222,278,5.6327,0,16.0934,30,9144,0,0,0.051405337
48,2022.11.13 20:00,6.66667,74,2.22222,264,3.70149,0,16.0934,44,9144,0,0,-0.16900562
49,2022.11.13 21:00,5.55556,80,2.22222,257,3.70149,0,16.0934,58,9144,0,0,0.1400668
50,2022.11.13 22:00,6.66667,76,2.77778,266,3.70149,0,11.2654,72,9144,0,0,-0.41874668
51,2022.11.13 23:00,7.77778,73,3.33333,276,3.70149,0,11.2654,86,7254.24,0,0,-0.4583585
52,2022.11.14 0:00,8.88889,67,3.33333,283,5.6327,1,11.2654,100,7254.24,0,0,33.050774
53,2022.11.14 1:00,10,62,2.77778,285,5.6327,1,11.2654,100,7254.24,0,0,38.132427
54,2022.11.14 2:00,11.1111,58,2.77778,285,7.40298,1,11.2654,100,7223.76,0,0,42.258904
55,2022.11.14 3:00,11.6667,57,3.33333,286,7.40298,1,16.0934,100,5608.32,0,0,40.452427
56,2022.11.14 4:00,11.6667,57,3.88889,123,3.70149,1,16.0934,100,5577.84,1,0,40.610226
57,2022.11.14 5:00,12.7778,58,4.44444,163,1.93121,1,16.0934,100,5577.84,1,0,42.82677
58,2022.11.14 6:00,11.1111,66,5,205,3.70149,1,16.0934,100,5577.84,1,0,34.042225
59,2022.11.14 7:00,11.1111,69,5.55556,225,1.93121,0,16.0934,99,5577.84,1,0,0.004561859
60,2022.11.14 8:00,10.5556,74,6.11111,266,1.93121,0,16.0934,98,5577.84,1,0,0.16371429
61,2022.11.14 9:00,9.44444,80,6.11111,303,1.93121,0,16.0934,97,5547.36,3,0,0.25839812
62,2022.11.14 10:00,8.88889,84,6.11111,321,3.70149,0,16.0934,95,5547.36,7,0,0.06917806
63,2022.11.14 11:00,7.77778,88,6.11111,329,3.70149,0,16.0934,94,5547.36,7,0,0.016643817
64,2022.11.14 12:00,7.22222,92,6.11111,335,5.6327,0,16.0934,93,5547.36,7,0,-0.12367255
65,2022.11.14 13:00,6.11111,94,5,321,7.40298,0,16.0934,80,5547.36,7,0,-0.18507202
66,2022.11.14 14:00,5,95,3.88889,312,7.40298,0,16.0934,67,5547.36,7,0,-0.14408678
67,2022.11.14 15:00,3.88889,93,2.77778,306,9.3342,0,16.0934,54,9144,5,0,0.5748791
68,2022.11.14 16:00,2.77778,91,1.66667,302,11.1045,0,16.0934,42,9144,0,0,2.1422107
69,2022.11.14 17:00,2.77778,90,1.11111,298,13.0357,0,16.0934,32,9144,0,0,3.1299076
70,2022.11.14 18:00,2.77778,91,1.11111,296,14.806,0,16.0934,23,9144,0,0,2.9140866
71,2022.11.14 19:00,1.66667,97,1.11111,294,13.0357,0,16.0934,25,9144,0,0,2.8494668
