Column1,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,precip_prob,precip_1h,predict(14¿œ),predict(13¿œ)
51,2022.11.14 23:00,5,100,5,327,3.70149,1,1.62544,8,9144,0,0,14.37703272,
52,2022.11.15 0:00,7.22222,83,4.44444,306,5.6327,2,1.62544,2,9144,0,0,40.2729556,
53,2022.11.15 1:00,8.88889,71,3.88889,298,7.40298,2,1.62544,21,9144,0,0,39.72509391,
54,2022.11.15 2:00,10.5556,61,3.33333,295,9.3342,3,1.62544,39,9144,0,0,49.57828447,
55,2022.11.15 3:00,12.2222,55,3.33333,293,11.1045,3,1.62544,58,9144,0,0,53.98059809,
56,2022.11.15 4:00,12.7778,48,2.22222,291,13.0357,3,1.62544,42,9144,1,0,57.1878545,
57,2022.11.15 5:00,11.6667,49,1.66667,289,13.0357,2,1.62544,26,9144,1,0,56.25503053,
58,2022.11.15 6:00,11.6667,51,1.66667,287,13.0357,2,1.62544,10,9144,1,0,62.5342504,
59,2022.11.15 7:00,11.1111,55,2.77778,282,13.0357,1,1.62544,9,9144,1,0,37.51503976,
60,2022.11.15 8:00,10.5556,62,3.33333,275,11.1045,0,1.62544,8,9144,1,0,5.386816959,
61,2022.11.15 9:00,9.44444,67,3.88889,272,9.3342,0,1.62544,7,9144,1,0,3.104154734,
62,2022.11.15 10:00,8.33333,68,2.77778,273,7.40298,0,1.62544,14,9144,0,0,0.70290407,
63,2022.11.15 11:00,8.33333,70,3.33333,275,7.40298,0,1.62544,22,9144,0,0,0.122350542,
64,2022.11.15 12:00,8.33333,71,3.33333,277,7.40298,0,1.62544,30,9144,0,0,0.702542936,
65,2022.11.15 13:00,8.88889,76,4.44444,278,7.40298,0,1.62544,26,9144,0,0,1.054126076,
66,2022.11.15 14:00,8.33333,78,4.44444,281,7.40298,0,1.62544,23,9144,0,0,0.92028764,
67,2022.11.15 15:00,8.33333,80,5,283,7.40298,0,1.62544,19,9144,0,0,0.908241473,
68,2022.11.15 16:00,7.77778,83,5,287,5.6327,0,1.62544,15,9144,0,0,-0.460259677,
69,2022.11.15 17:00,7.22222,87,5.55556,293,5.6327,0,1.62544,12,9144,0,0,-0.609834626,
70,2022.11.15 18:00,6.66667,91,5.55556,302,3.70149,0,1.62544,8,9144,0,0,-0.748971716,
71,2022.11.15 19:00,7.22222,97,6.66667,316,3.70149,0,1.62544,9,9144,0,0,-0.837863536,
